organizer,dimension,value,observations,api_failures,task_success_rate,skill_selection_f1,sequence_accuracy,avg_context_tokens,total_tokens,redundant_call_rate
FlatOrganizer,overall,all,54,0,0.8333333333333334,0.898148148148148,0.8333333333333334,1104.9444444444443,51771,0.10526315789473684
HierarchicalOrganizer,overall,all,54,0,0.7222222222222222,0.9814814814814814,0.9444444444444444,793.0555555555555,41942,0.0
FlatOrganizer,candidate_count,5,18,0,0.8333333333333334,0.9166666666666666,0.8333333333333334,841.5,14034,0.14285714285714285
FlatOrganizer,candidate_count,10,21,0,1.0,1.0,1.0,1312.857142857143,22915,0.0
FlatOrganizer,candidate_count,20,15,0,0.6,0.7333333333333332,0.6,1130.0,14822,0.2
FlatOrganizer,target_gold_rank,1,21,0,0.8571428571428571,1.0,1.0,1117.7142857142858,20148,0.0
FlatOrganizer,target_gold_rank,3,21,0,0.8571428571428571,0.9523809523809523,0.8571428571428571,1083.4285714285713,19941,0.0
FlatOrganizer,target_gold_rank,5,12,0,0.75,0.625,0.5,1120.25,11682,0.4
FlatOrganizer,context_budget_tokens,800,18,0,0.8333333333333334,0.75,0.6666666666666666,723.6666666666666,12566,0.2857142857142857
FlatOrganizer,context_budget_tokens,1200,21,0,0.8571428571428571,0.9523809523809523,0.8571428571428571,1111.4285714285713,20351,0.0
FlatOrganizer,context_budget_tokens,2000,15,0,0.8,1.0,1.0,1553.4,18854,0.0
HierarchicalOrganizer,candidate_count,5,18,0,0.8333333333333334,1.0,1.0,721.1666666666666,12847,0.0
HierarchicalOrganizer,candidate_count,10,21,0,0.8571428571428571,1.0,1.0,788.0,16074,0.0
HierarchicalOrganizer,candidate_count,20,15,0,0.4,0.9333333333333332,0.8,886.4,13021,0.0
HierarchicalOrganizer,target_gold_rank,1,21,0,0.8571428571428571,1.0,1.0,788.0,15907,0.0
HierarchicalOrganizer,target_gold_rank,3,21,0,0.7142857142857143,0.9523809523809523,0.8571428571428571,820.1428571428571,16906,0.0
HierarchicalOrganizer,target_gold_rank,5,12,0,0.5,1.0,1.0,754.5,9129,0.0
HierarchicalOrganizer,context_budget_tokens,800,18,0,0.6666666666666666,1.0,1.0,690.0,12603,0.0
HierarchicalOrganizer,context_budget_tokens,1200,21,0,0.8571428571428571,0.9523809523809523,0.8571428571428571,870.0,17562,0.0
HierarchicalOrganizer,context_budget_tokens,2000,15,0,0.6,1.0,1.0,809.0,11777,0.0
